word_count,urgent_keyword_count,sentiment_score,historical_ticket_count,crisis_severity_index,recommended_grant,dropout_risk
1.0000,0.2000,0.4191,7,0.3684,368.00,0.3541
1.0000,0.2000,0.4647,7,0.5436,543.00,0.4449
1.0000,1.0000,0.0463,4,0.8966,896.00,0.8632
0.4200,0.2000,0.6365,9,0.2418,241.00,0.1533
0.9200,0.2000,0.5459,17,0.4101,410.00,0.4792
0.9900,0.8000,0.3734,3,0.5893,589.00,0.5907
1.0000,1.0000,0.0968,10,0.8397,839.00,0.8804
1.0000,0.6000,0.4647,2,0.5332,533.00,0.5163
1.0000,0.8000,0.3482,20,0.8954,895.00,0.8607
1.0000,1.0000,0.0303,10,1.0000,1000.00,0.9760
0.3200,0.2000,0.7892,17,0.3032,303.00,0.3803
1.0000,1.0000,0.1646,13,0.8477,847.00,0.7604
0.8600,0.4000,0.4119,6,0.6352,635.00,0.6215
1.0000,0.6000,0.2934,20,0.6728,672.00,0.5918
0.8800,0.2000,0.9899,0,0.1262,126.00,0.1441
1.0000,0.6000,0.3330,6,0.6560,655.00,0.6162
1.0000,1.0000,0.1501,1,0.9979,997.00,0.9308
1.0000,0.2000,0.2856,13,0.3984,398.00,0.3154
1.0000,0.4000,0.5346,16,0.5857,585.00,0.6682
1.0000,1.0000,0.1487,4,0.8529,852.00,0.8222
1.0000,1.0000,0.0426,19,0.9679,967.00,1.0000
0.3600,0.2000,0.6114,7,0.2993,299.00,0.3211
1.0000,1.0000,0.0254,6,0.8894,889.00,0.9878
1.0000,1.0000,0.0676,6,0.8941,894.00,0.9818
1.0000,0.2000,0.5376,2,0.3480,348.00,0.2955
1.0000,0.4000,0.4135,2,0.6086,608.00,0.5158
0.3600,0.4000,0.6964,2,0.3244,324.00,0.3193
1.0000,1.0000,0.0074,1,0.9671,967.00,0.9526
1.0000,0.4000,0.4451,10,0.5508,550.00,0.5345
0.9400,0.2000,0.6823,14,0.3508,350.00,0.3273
1.0000,0.6000,0.5386,0,0.4928,492.00,0.4944
0.9700,0.2000,0.4517,0,0.5211,521.00,0.4643
1.0000,1.0000,0.0116,19,1.0000,1000.00,0.9225
1.0000,1.0000,0.1208,5,0.9322,932.00,0.8933
0.3500,0.0000,0.6434,19,0.1474,147.00,0.1117
0.4700,0.2000,0.9369,9,0.1387,138.00,0.1352
1.0000,1.0000,0.0535,10,0.8589,858.00,0.8523
0.4400,0.2000,0.9129,7,0.0812,81.00,0.1156
1.0000,1.0000,0.1385,4,0.9116,911.00,0.8421
1.0000,0.6000,0.3630,11,0.6210,621.00,0.5448
1.0000,1.0000,0.0175,16,1.0000,1000.00,0.9979
0.8700,0.6000,0.5200,5,0.4259,425.00,0.3656
0.5600,0.2000,0.8402,10,0.1258,125.00,0.1454
0.9600,0.2000,0.5901,20,0.2807,280.00,0.3657
0.4500,0.4000,0.5655,11,0.4132,413.00,0.5017
0.5800,0.2000,0.9640,3,0.1133,113.00,0.1879
0.8100,0.4000,0.5361,14,0.3163,316.00,0.2834
0.7700,0.0000,0.6041,7,0.3575,357.00,0.3627
0.7000,0.2000,0.5641,11,0.2950,294.00,0.3147
1.0000,0.6000,0.2927,1,0.7320,732.00,0.6730
1.0000,1.0000,0.0352,8,0.8999,899.00,0.8253
1.0000,1.0000,0.0827,3,0.8214,821.00,0.7459
0.6200,0.2000,0.9750,10,0.1675,167.00,0.1591
1.0000,0.8000,0.2106,20,0.8489,848.00,0.8893
1.0000,0.4000,0.2813,8,0.5534,553.00,0.5847
0.3800,0.0000,0.5951,1,0.1765,176.00,0.1646
1.0000,0.6000,0.3080,13,0.6522,652.00,0.6303
1.0000,0.2000,0.2971,15,0.4621,462.00,0.3890
0.4900,0.4000,0.6971,10,0.4467,446.00,0.4633
1.0000,0.2000,0.4124,19,0.4162,416.00,0.3753
1.0000,0.4000,0.5017,1,0.5443,544.00,0.5809
0.4100,0.2000,0.9976,12,0.2406,240.00,0.2499
1.0000,1.0000,0.1092,20,0.8714,871.00,0.9440
1.0000,0.4000,0.3521,4,0.5841,584.00,0.6501
1.0000,1.0000,0.1773,1,0.7384,738.00,0.7076
1.0000,0.8000,0.4473,16,0.5999,599.00,0.5035
1.0000,0.6000,0.3189,14,0.8170,816.00,0.7782
1.0000,0.8000,0.1474,16,0.8957,895.00,0.8975
0.5100,0.2000,0.8985,19,0.0364,36.00,0.0741
0.5300,0.4000,0.6139,19,0.4220,422.00,0.3790
1.0000,0.4000,0.2196,14,0.4737,473.00,0.4209
1.0000,0.6000,0.4540,13,0.5351,535.00,0.5568
0.4300,0.0000,0.8576,13,0.1849,184.00,0.2375
1.0000,0.8000,0.0992,11,0.8740,874.00,0.8473
1.0000,0.8000,0.0090,1,0.8670,866.00,0.9317
1.0000,0.2000,0.5180,4,0.3173,317.00,0.2352
1.0000,0.8000,0.0761,15,0.7880,787.00,0.7850
1.0000,0.6000,0.3647,4,0.4417,441.00,0.4737
1.0000,0.4000,0.3987,9,0.5469,546.00,0.6296
1.0000,1.0000,0.1999,17,0.6959,695.00,0.7879
1.0000,1.0000,0.0800,6,0.9127,912.00,0.8955
1.0000,1.0000,0.0732,5,1.0000,1000.00,0.9694
0.8400,0.0000,0.5593,9,0.3161,316.00,0.3380
1.0000,1.0000,0.1632,15,0.9179,917.00,0.8793
0.8400,0.2000,0.6332,3,0.1856,185.00,0.2498
0.4300,0.0000,0.6176,9,0.2186,218.00,0.1808
1.0000,0.2000,0.3090,3,0.3888,388.00,0.3999
1.0000,0.4000,0.4143,1,0.5216,521.00,0.4730
0.3800,0.2000,0.9118,0,0.2166,216.00,0.1828
0.9400,0.2000,0.6404,3,0.2584,258.00,0.3154
0.6100,0.2000,0.7609,19,0.2182,218.00,0.2600
1.0000,1.0000,0.1124,15,0.7716,771.00,0.8193
1.0000,1.0000,0.1797,9,0.7687,768.00,0.7029
1.0000,0.4000,0.5468,13,0.3060,306.00,0.2447
1.0000,1.0000,0.1670,13,0.9145,914.00,0.9397
1.0000,0.6000,0.5267,4,0.6378,637.00,0.6312
1.0000,0.2000,0.4271,13,0.3926,392.00,0.4490
0.9000,0.2000,0.7770,11,0.3176,317.00,0.4001
1.0000,0.8000,0.2597,1,0.6684,668.00,0.6781
1.0000,1.0000,0.1328,18,0.9652,965.00,0.9001
0.7600,0.0000,0.8765,4,0.2035,203.00,0.2548
0.9000,0.8000,0.4235,5,0.5399,539.00,0.6135
1.0000,1.0000,0.1286,16,1.0000,1000.00,0.9417
1.0000,1.0000,0.1342,12,0.8433,843.00,0.8378
1.0000,1.0000,0.0429,10,0.7626,762.00,0.7083
1.0000,0.4000,0.3887,20,0.5855,585.00,0.5225
0.8600,0.4000,0.2572,15,0.6101,610.00,0.6085
0.8100,0.2000,0.2639,7,0.5366,536.00,0.5638
0.9400,0.2000,0.6669,14,0.1307,130.00,0.1546
1.0000,0.6000,0.4703,0,0.4561,456.00,0.4513
1.0000,0.4000,0.4996,16,0.6251,625.00,0.5597
1.0000,0.4000,0.4626,6,0.2815,281.00,0.3360
0.6000,0.2000,0.9189,16,0.1529,152.00,0.1324
1.0000,1.0000,0.0603,19,0.8105,810.00,0.7334
1.0000,0.4000,0.3079,0,0.6420,641.00,0.5785
0.3900,0.4000,0.6193,9,0.5700,569.00,0.5607
1.0000,1.0000,0.0400,19,0.8855,885.00,0.8050
1.0000,0.8000,0.0214,17,0.9308,930.00,0.9768
1.0000,1.0000,0.1079,13,0.9052,905.00,0.9424
1.0000,1.0000,0.1491,19,0.9334,933.00,0.9460
1.0000,1.0000,0.0296,8,0.8936,893.00,0.8248
0.9900,0.6000,0.3697,9,0.6676,667.00,0.6128
0.7300,0.0000,0.8041,15,0.1674,167.00,0.2294
0.9600,0.8000,0.2679,10,0.7282,728.00,0.6340
0.9300,0.2000,0.5602,5,0.3448,344.00,0.3866
0.9400,0.2000,0.6152,16,0.2066,206.00,0.1621
0.4300,0.0000,0.6050,12,0.2217,221.00,0.1347
1.0000,0.6000,0.4112,4,0.4463,446.00,0.4806
0.6900,0.2000,0.8165,5,0.2068,206.00,0.2085
1.0000,0.4000,0.3260,19,0.6601,660.00,0.5941
1.0000,0.4000,0.2238,6,0.7182,718.00,0.7494
1.0000,0.6000,0.4416,6,0.6605,660.00,0.7146
1.0000,1.0000,0.0190,4,0.9328,932.00,0.9794
1.0000,0.4000,0.4050,19,0.3155,315.00,0.2260
0.3100,0.2000,0.6183,4,0.2412,241.00,0.1913
1.0000,1.0000,0.0634,20,0.8914,891.00,0.9619
1.0000,1.0000,0.1972,6,0.7589,758.00,0.6640
1.0000,1.0000,0.0895,1,1.0000,1000.00,1.0000
1.0000,1.0000,0.1193,2,1.0000,1000.00,1.0000
0.4000,0.0000,0.9157,14,0.1484,148.00,0.2093
1.0000,0.6000,0.4197,3,0.4774,477.00,0.3924
1.0000,0.6000,0.3419,18,0.4685,468.00,0.4804
1.0000,0.6000,0.4406,4,0.7092,709.00,0.7812
1.0000,0.6000,0.3946,5,0.5880,588.00,0.6023
0.6600,0.2000,0.8583,9,0.3937,393.00,0.4642
1.0000,0.4000,0.4265,17,0.5108,510.00,0.5667
1.0000,0.6000,0.2919,20,0.5465,546.00,0.6132
0.4300,0.2000,0.5876,7,0.2361,236.00,0.3302
0.7800,0.0000,0.8504,7,0.0000,0.00,0.0000
1.0000,0.2000,0.4661,14,0.4810,481.00,0.4059
1.0000,0.0000,0.9235,2,0.0000,0.00,0.0000
1.0000,0.2000,0.3651,17,0.4389,438.00,0.4586
1.0000,0.8000,0.1628,12,0.8283,828.00,0.9152
1.0000,0.6000,0.4947,19,0.3831,383.00,0.3040
0.6400,0.2000,0.6959,8,0.4062,406.00,0.4199
0.4000,0.4000,0.6310,3,0.5780,577.00,0.6087
0.9900,0.2000,0.8919,9,0.2459,245.00,0.2840
0.8500,0.4000,0.3513,16,0.4879,487.00,0.4486
1.0000,1.0000,0.1681,15,1.0000,1000.00,1.0000
1.0000,1.0000,0.0124,17,1.0000,1000.00,0.9848
0.7600,0.4000,0.9259,0,0.1190,119.00,0.0191
0.7600,0.0000,0.8543,5,0.0153,15.00,0.0175
1.0000,0.2000,0.3252,14,0.4248,424.00,0.3700
0.8600,0.4000,0.7223,7,0.2363,236.00,0.1505
0.9300,0.6000,0.3782,6,0.5283,528.00,0.4748
0.9900,0.2000,0.8658,12,0.2897,289.00,0.2687
1.0000,1.0000,0.0931,16,0.7741,774.00,0.7176
0.9000,0.4000,0.9879,6,0.1853,185.00,0.1919
1.0000,0.8000,0.1560,3,0.8890,889.00,0.9872
1.0000,0.4000,0.4596,4,0.4650,464.00,0.5003
1.0000,1.0000,0.0293,19,1.0000,1000.00,1.0000
1.0000,1.0000,0.1032,12,0.8296,829.00,0.8124
0.6900,0.2000,0.5592,14,0.2140,213.00,0.1221
0.4700,0.0000,0.6046,10,0.0990,99.00,0.1297
1.0000,0.4000,0.5249,12,0.4046,404.00,0.3084
1.0000,0.4000,0.4191,5,0.3177,317.00,0.3296
0.9600,0.2000,0.5766,5,0.2875,287.00,0.3804
0.4100,0.4000,0.5639,19,0.5568,556.00,0.5713
1.0000,1.0000,0.1084,1,0.7757,775.00,0.7245
1.0000,0.6000,0.3783,8,0.6865,686.00,0.7125
0.4200,0.2000,0.7683,15,0.2780,278.00,0.2450
1.0000,0.6000,0.4913,15,0.4688,468.00,0.3919
0.9100,0.6000,0.3596,17,0.5070,506.00,0.4262
1.0000,0.4000,0.4585,11,0.4667,466.00,0.3717
1.0000,0.8000,0.1989,12,0.9027,902.00,0.9677
0.3900,0.2000,0.9028,4,0.1585,158.00,0.1634
0.3000,0.0000,0.9214,12,0.1382,138.00,0.1705
1.0000,1.0000,0.0221,14,0.8963,896.00,0.8311
1.0000,0.8000,0.4567,13,0.6689,668.00,0.6631
1.0000,1.0000,0.0519,10,0.8163,816.00,0.8493
1.0000,1.0000,0.1593,18,1.0000,1000.00,0.9502
0.8500,0.4000,0.4244,0,0.4121,412.00,0.4776
1.0000,1.0000,0.0332,16,0.8891,889.00,0.9226
1.0000,1.0000,0.1426,10,0.8071,807.00,0.8665
0.4400,0.0000,0.8638,9,0.0064,6.00,0.0751
1.0000,0.4000,0.4492,6,0.6190,618.00,0.5566
1.0000,1.0000,0.0071,5,1.0000,1000.00,0.9043
1.0000,0.6000,0.5285,16,0.5822,582.00,0.6142
0.7300,0.2000,0.6392,2,0.2416,241.00,0.3338
0.5100,0.2000,0.7677,1,0.1885,188.00,0.1583
1.0000,0.4000,0.3207,11,0.4233,423.00,0.4616
1.0000,1.0000,0.0698,5,0.8823,882.00,0.8326
1.0000,0.6000,0.4078,5,0.4302,430.00,0.3874
0.9900,0.6000,0.4634,18,0.6866,686.00,0.6381
1.0000,0.2000,0.2766,19,0.4687,468.00,0.3758
0.7200,0.0000,0.8936,7,0.0109,10.00,0.0000
0.3400,0.4000,0.7911,3,0.2821,282.00,0.3095
1.0000,1.0000,0.1964,3,0.8105,810.00,0.8697
1.0000,0.4000,0.5209,11,0.3414,341.00,0.3537
1.0000,0.6000,0.5334,6,0.5833,583.00,0.5559
1.0000,0.4000,0.2387,11,0.5580,558.00,0.5180
0.4700,0.2000,0.9007,3,0.2458,245.00,0.2803
0.6900,0.2000,0.5803,2,0.3285,328.00,0.3331
1.0000,0.6000,0.3169,8,0.5377,537.00,0.6064
1.0000,1.0000,0.0541,9,0.8362,836.00,0.9300
0.5800,0.4000,0.8908,15,0.1143,114.00,0.1928
1.0000,1.0000,0.0450,10,0.9445,944.00,0.9033
1.0000,0.2000,0.4181,17,0.2859,285.00,0.3118
1.0000,0.8000,0.4246,7,0.5591,559.00,0.6276
0.5100,0.2000,0.6849,18,0.2933,293.00,0.3893
1.0000,1.0000,0.1366,7,0.8188,818.00,0.8197
0.4000,0.4000,0.9774,9,0.2634,263.00,0.3176
0.7200,0.2000,0.7633,10,0.1790,179.00,0.2465
0.3800,0.2000,0.7332,12,0.3414,341.00,0.2567
1.0000,0.6000,0.5188,14,0.4967,496.00,0.3977
1.0000,0.4000,0.3052,8,0.6094,609.00,0.5698
1.0000,0.2000,0.5143,18,0.3036,303.00,0.2721
1.0000,0.4000,0.5200,19,0.5805,580.00,0.5008
1.0000,0.6000,0.3819,15,0.5374,537.00,0.5369
1.0000,1.0000,0.1039,1,0.9064,906.00,0.8663
1.0000,0.4000,0.3173,15,0.5390,539.00,0.5154
1.0000,1.0000,0.1901,17,0.8770,876.00,0.9504
1.0000,1.0000,0.0324,1,0.8618,861.00,0.8695
1.0000,0.4000,0.4529,18,0.5230,523.00,0.5859
1.0000,0.4000,0.3413,9,0.4840,483.00,0.4578
1.0000,0.4000,0.5255,14,0.4807,480.00,0.4591
1.0000,1.0000,0.0232,6,0.9964,996.00,0.9289
1.0000,1.0000,0.1788,14,0.9866,986.00,0.9931
1.0000,0.8000,0.3700,15,0.7628,762.00,0.7797
1.0000,0.6000,0.4153,0,0.6702,670.00,0.6782
1.0000,0.6000,0.2924,13,0.6888,688.00,0.6603
1.0000,1.0000,0.1874,17,0.8377,837.00,0.8828
1.0000,0.6000,0.3064,13,0.6805,680.00,0.7545
0.8900,0.0000,0.7598,1,0.1897,189.00,0.2293
1.0000,0.8000,0.4244,9,0.5580,558.00,0.5454
0.9500,0.4000,0.4027,0,0.4651,465.00,0.4288
0.4000,0.4000,0.6912,12,0.4347,434.00,0.4250
1.0000,0.2000,0.5010,15,0.4227,422.00,0.3631
0.3100,0.2000,0.6544,16,0.3301,330.00,0.3641
1.0000,0.6000,0.4063,8,0.6321,632.00,0.6523
1.0000,0.8000,0.2243,17,0.7908,790.00,0.8352
0.9800,0.2000,0.8841,1,0.0642,64.00,0.0000
1.0000,1.0000,0.1019,11,1.0000,1000.00,0.9627
1.0000,0.2000,0.3751,12,0.4530,453.00,0.4724
0.9000,0.8000,0.3301,14,0.6878,687.00,0.6292
0.5300,0.0000,0.9713,6,0.1152,115.00,0.0450
0.5600,0.4000,0.7557,19,0.2528,252.00,0.1853
1.0000,0.4000,0.2586,2,0.5452,545.00,0.6357
1.0000,0.6000,0.2087,2,0.6225,622.00,0.6920
0.5300,0.2000,0.6998,18,0.1163,116.00,0.1329
0.9400,0.6000,0.3577,16,0.6470,646.00,0.5949
0.9000,0.2000,0.6383,9,0.3627,362.00,0.4574
1.0000,1.0000,0.0162,10,1.0000,1000.00,1.0000
1.0000,0.4000,0.4563,11,0.4499,449.00,0.4644
0.9600,0.2000,0.2267,14,0.4120,412.00,0.4395
0.9900,0.2000,0.7724,14,0.2677,267.00,0.2877
1.0000,1.0000,0.1853,12,0.8497,849.00,0.8819
0.5800,0.0000,0.7418,5,0.1047,104.00,0.0489
1.0000,0.2000,0.3819,11,0.3269,326.00,0.2607
1.0000,0.6000,0.4898,17,0.4653,465.00,0.4403
1.0000,0.6000,0.2883,20,0.7066,706.00,0.6102
0.5500,0.2000,0.7488,19,0.1603,160.00,0.1293
1.0000,1.0000,0.0838,20,0.9321,932.00,0.8355
1.0000,1.0000,0.0409,14,1.0000,1000.00,1.0000
0.6400,0.2000,0.8047,6,0.2733,273.00,0.2952
1.0000,1.0000,0.0552,16,0.9319,931.00,0.8641
0.6700,0.2000,0.8083,14,0.2939,293.00,0.3646
1.0000,1.0000,0.1387,7,0.8881,888.00,0.8262
1.0000,0.4000,0.3120,17,0.3710,371.00,0.4568
1.0000,0.8000,0.2352,0,0.7255,725.00,0.6362
0.7000,0.2000,0.6621,19,0.1981,198.00,0.2497
1.0000,0.8000,0.0066,2,0.8708,870.00,0.9111
0.9900,0.2000,0.9059,11,0.2608,260.00,0.3551
1.0000,0.6000,0.3770,2,0.6120,612.00,0.7067
0.7500,0.2000,0.9697,9,0.2122,212.00,0.1256
1.0000,1.0000,0.1732,5,0.7810,780.00,0.8665
1.0000,0.4000,0.2646,0,0.4874,487.00,0.5394
0.9300,0.6000,0.3379,3,0.7059,705.00,0.6783
1.0000,0.6000,0.4408,17,0.6161,616.00,0.6107
1.0000,0.4000,0.3650,6,0.5348,534.00,0.5486
0.8200,0.2000,0.6058,0,0.2360,235.00,0.3227
1.0000,1.0000,0.0703,15,0.8169,816.00,0.8007
1.0000,0.6000,0.5492,14,0.5560,555.00,0.5827
1.0000,1.0000,0.1561,4,0.8392,839.00,0.9180
0.5300,0.4000,0.9393,14,0.2198,219.00,0.1533
1.0000,1.0000,0.0898,12,0.9003,900.00,0.8982
1.0000,0.2000,0.2004,3,0.4114,411.00,0.4933
0.8500,0.2000,0.7748,9,0.1166,116.00,0.1680
1.0000,0.8000,0.2723,17,0.7396,739.00,0.6712
1.0000,0.8000,0.2378,10,0.7146,714.00,0.6420
0.4500,0.0000,0.6568,12,0.2578,257.00,0.3333
0.4100,0.2000,0.9487,9,0.1130,112.00,0.1972
0.4400,0.4000,0.8254,19,0.3331,333.00,0.4037
1.0000,0.8000,0.1386,7,0.7451,745.00,0.7471
1.0000,1.0000,0.0514,9,0.9918,991.00,0.9887
0.8700,0.0000,0.6008,2,0.3643,364.00,0.3889
1.0000,0.6000,0.5112,10,0.6363,636.00,0.6459
0.6000,0.0000,0.6373,3,0.1701,170.00,0.1323
0.3500,0.4000,0.9764,16,0.2698,269.00,0.2668
1.0000,0.6000,0.2521,0,0.5997,599.00,0.6629
1.0000,0.2000,0.4252,6,0.3454,345.00,0.3842
1.0000,1.0000,0.0122,11,0.7798,779.00,0.7119
0.5500,0.0000,0.6795,16,0.3026,302.00,0.3586
0.6700,0.2000,0.8287,16,0.0834,83.00,0.0386
1.0000,1.0000,0.0326,12,0.8318,831.00,0.8551
0.8700,0.2000,0.2671,13,0.3911,391.00,0.4516
0.4000,0.0000,0.8148,13,0.0359,35.00,0.0959
1.0000,1.0000,0.0841,15,0.8984,898.00,0.8716
0.6800,0.2000,0.9745,18,0.0757,75.00,0.1296
1.0000,1.0000,0.0263,3,1.0000,1000.00,0.9003
0.5000,0.2000,0.8667,13,0.2468,246.00,0.1746
0.8400,0.0000,0.8880,7,0.1428,142.00,0.1207
1.0000,0.6000,0.2062,12,0.6388,638.00,0.7382
0.8500,0.2000,0.7923,1,0.2607,260.00,0.2083
1.0000,1.0000,0.1902,14,0.8036,803.00,0.8089
1.0000,0.4000,0.4846,10,0.3422,342.00,0.2735
1.0000,1.0000,0.1083,11,1.0000,1000.00,1.0000
0.3600,0.0000,0.8585,13,0.0683,68.00,0.1304
1.0000,0.4000,0.2017,1,0.6756,675.00,0.7708
1.0000,1.0000,0.0073,14,0.8820,882.00,0.9634
0.7200,0.2000,0.8636,3,0.3115,311.00,0.3605
0.4500,0.2000,0.5970,9,0.2028,202.00,0.1453
1.0000,1.0000,0.0856,11,0.8667,866.00,0.8225
0.9900,0.4000,0.9340,19,0.2650,264.00,0.2637
1.0000,1.0000,0.1810,17,0.9492,949.00,0.8845
1.0000,1.0000,0.0159,20,0.9115,911.00,0.8172
1.0000,1.0000,0.1595,6,0.8433,843.00,0.9317
1.0000,0.8000,0.4570,19,0.6223,622.00,0.5443
1.0000,1.0000,0.1245,14,0.7331,733.00,0.7421
1.0000,0.8000,0.3351,15,0.8139,813.00,0.8991
1.0000,0.8000,0.3096,15,0.6604,660.00,0.6614
1.0000,1.0000,0.1910,16,0.7967,796.00,0.7096
1.0000,0.6000,0.4378,20,0.6118,611.00,0.5416
0.8700,0.4000,0.7826,16,0.2796,279.00,0.2625
1.0000,0.6000,0.3650,6,0.7195,719.00,0.6237
0.5200,0.2000,0.8141,3,0.3138,313.00,0.2958
1.0000,1.0000,0.0613,8,1.0000,1000.00,0.9817
0.8400,0.2000,0.5857,11,0.3072,307.00,0.3672
0.9200,0.2000,0.9497,2,0.0706,70.00,0.1423
1.0000,0.6000,0.3634,16,0.6335,633.00,0.6477
0.8800,0.6000,0.2474,8,0.6186,618.00,0.6576
0.4600,0.2000,0.9630,10,0.0846,84.00,0.0495
0.9700,0.2000,0.8465,20,0.1443,144.00,0.0780
0.3700,0.0000,0.8641,8,0.2449,244.00,0.1841
0.7000,0.4000,0.5858,9,0.4345,434.00,0.3933
1.0000,1.0000,0.1706,6,0.7280,727.00,0.8276
0.6600,0.2000,0.9531,15,0.1312,131.00,0.0366
1.0000,0.2000,0.2710,3,0.3644,364.00,0.2823
1.0000,0.2000,0.2259,10,0.5969,596.00,0.6093
0.8400,0.2000,0.3682,15,0.3012,301.00,0.2944
0.7700,0.2000,0.9391,7,0.0639,63.00,0.1214
1.0000,1.0000,0.0820,17,0.8807,880.00,0.7862
1.0000,1.0000,0.0751,5,1.0000,1000.00,0.9128
1.0000,0.6000,0.3626,10,0.4884,488.00,0.4926
0.6600,0.2000,0.6624,20,0.2726,272.00,0.2553
0.9800,0.8000,0.4578,17,0.5602,560.00,0.5957
1.0000,0.8000,0.0528,13,0.7486,748.00,0.8230
0.7200,0.2000,0.7955,14,0.1410,141.00,0.1783
1.0000,0.4000,0.5392,11,0.3992,399.00,0.3787
1.0000,1.0000,0.0053,12,0.9802,980.00,0.9326
1.0000,0.4000,0.5241,12,0.4284,428.00,0.4292
0.7400,0.2000,0.5756,9,0.4358,435.00,0.3717
0.9600,0.8000,0.3874,17,0.5485,548.00,0.6305
0.6800,0.0000,0.8148,17,0.1385,138.00,0.0414
1.0000,1.0000,0.0122,9,0.9068,906.00,0.9335
1.0000,1.0000,0.1852,5,0.8654,865.00,0.8017
1.0000,1.0000,0.1341,19,0.7375,737.00,0.8028
1.0000,0.8000,0.1908,13,0.8169,816.00,0.7954
1.0000,0.4000,0.2547,11,0.5397,539.00,0.5598
1.0000,1.0000,0.1438,8,0.9217,921.00,0.8536
1.0000,0.8000,0.3467,19,0.8968,896.00,0.9621
0.6400,0.0000,0.5809,10,0.1964,196.00,0.1437
1.0000,0.4000,0.5227,14,0.3289,328.00,0.2470
0.8900,0.2000,0.9596,10,0.2100,210.00,0.1124
1.0000,0.4000,0.5256,5,0.2822,282.00,0.2904
1.0000,0.4000,0.4917,16,0.2890,289.00,0.3203
0.5000,0.2000,0.8485,6,0.1685,168.00,0.2226
1.0000,1.0000,0.0499,7,1.0000,1000.00,0.9920
1.0000,0.6000,0.2935,13,0.4758,475.00,0.3952
0.8600,0.2000,0.7271,1,0.0876,87.00,0.1519
1.0000,1.0000,0.0834,20,0.7587,758.00,0.8160
1.0000,0.8000,0.5042,6,0.5142,514.00,0.5134
1.0000,1.0000,0.1475,3,0.9339,933.00,1.0000
1.0000,1.0000,0.1769,16,0.8455,845.00,0.9404
1.0000,1.0000,0.1508,20,1.0000,1000.00,0.9252
